Month	Date	Status	Title	Platform(s)	Genre(s)	Publisher(s)
Sep	30/09/1997		Shogo: Mobile Armor Division	Win	First-person shooter	
Sep	30/09/1997		Close Combat: A Bridge Too Far	Win, 		
Sep	30/09/1997		Fallout	Win, 		
Sep	30/09/1997		Panzer General II	Win, 		
Sep	30/09/1997		Poy Poy	PS1, 		
Sep	30/09/1997		Total Annihilation	Win, 		
Oct	01/10/1997		MediEvil	PS1	Action-adventure	
Oct	01/10/1997		NHL 99	N64	Sports (ice hockey)	
Oct	01/10/1997		Grand Theft Auto	Win, GBC (2000), 		
Oct	02/10/1997		NFL Blitz	Win	Sports (football)	
Oct	09/10/1997		Star Wars Jedi Knight: Dark Forces II	Win, 		
Oct	12/10/1997		Need for Speed III: Hot Pursuit	Win	Racing	
Oct	15/10/1997		Age of Empires	Win, 		
Oct	15/10/1997		Mortal Kombat 4	1998, N64, PS1 (1998), GBC (1998), Arc		
Oct	21/10/1997		Turok 2: Seeds of Evil	N64	First-person shooter	
Oct	21/10/1997		Tetris DX	GBC	Puzzle	
Oct	21/10/1997		Wario Land II	GBC	Platform	
Oct	22/10/1997		Marvel Super Heroes vs. Street Fighter	Sat	Fighting	
Oct	23/10/1997		Steep Slope Sliders	Sat, Arc (1998)		
Oct	28/10/1997		Grim Fandango	Win	Adventure	
Oct	28/10/1997		Shipwreckers	Win, PS1, 		
Oct	29/10/1997		Fallout 2	Win	Role-playing	
Oct	29/10/1997		Riven	Win, Sat, PS1 (November 30), 		
Oct	30/10/1997		Culdcept	Sat, PS1 (1999), 		
Oct	31/10/1997		Age of Empires: The Rise of Rome	Win	Real-time strategy	
Oct	31/10/1997		Apocalypse	PS1	Third-person shooter	
Oct	31/10/1997		Centipede	Win	Shoot 'em up	
Oct	31/10/1997		Crash Bandicoot: Warped	PS1	Platform	
Oct	31/10/1997		FIFA 99	Win	Sports (soccer)	
Oct	31/10/1997		Glover	N64, Win	Platform	
Oct	31/10/1997		Heretic II	Win	Action-adventure	
Oct	31/10/1997		NBA Live 99	PS1, Win	Sports (basketball)	
Oct	31/10/1997		Oddworld: Abe's Exoddus	PS1, Win	Platform	
Oct	31/10/1997		Railroad Tycoon II	Win	Business simulation	
Oct	31/10/1997		Blade Runner	Win, 		
Oct	31/10/1997		Colony Wars	PS1, 		
Oct	31/10/1997		The Curse of Monkey Island	Win, 		
Oct	31/10/1997		PaRappa the Rapper	PS1, 		
Oct	31/10/1997		Zork: Grand Inquisitor	Win, 		
Nov	01/11/1997		Red Comrades Save the Galaxy	Win	Adventure	
Nov	01/11/1997		Independence War	Win, 		
Nov	01/11/1997		Crash Bandicoot 2: Cortex Strikes Back	PS1, 		
Nov	01/11/1997		Shock Troopers	Neo, Arc		
Nov	04/11/1997		NBA Live 99	N64	Sports (basketball)	
Nov	09/11/1997		SiN	Win	First-person shooter	
Nov	10/11/1997		Rush 2: Extreme Racing USA	N64	Racing	
Nov	11/11/1997		Sonic R	Win	Racing	
Nov	17/11/1997		Sonic R	Win (1998), Sat, 		
Nov	18/11/1997		Tomb Raider II	Win, PS1, 		
Nov	19/11/1997		Half-Life	Win	First-person shooter	
Nov	20/11/1997		The Settlers III	Win	Real-time strategy, city-building	
Nov	20/11/1997		Tomb Raider III	PS1, Win	Action-adventure	
Nov	21/11/1997		The Legend of Zelda: Ocarina of Time	N64	Action-adventure	
Nov	21/11/1997		Diddy Kong Racing	N64, 		
Nov	21/11/1997		Worms 2	Win, 		
Nov	25/11/1997		Blood II: The Chosen	Win	First-person shooter	
Nov	25/11/1997		Myth: The Fallen Lords	Win, 		
Nov	27/11/1997		Puyo Puyo Sun	GBC	Puzzle	
Nov	27/11/1997		Kirby's Dream Land 3	SNES, 		
Nov	30/11/1997		Bomberman 64	N64, 		
Nov	30/11/1997		One	PS1, 		
Nov	30/11/1997		Wing Commander: Prophecy	Win, 		
Nov	30/11/1997		WCW vs. nWo: World Tour	N64, 		
Dec	01/12/1997		Gex: Enter the Gecko	GBC	Platform	
Dec	01/12/1997		Thief: The Dark Project	Win	Stealth	
Dec	03/12/1997		Star Wars: Rogue Squadron	Win	Action	
Dec	04/12/1997		Magic and Mayhem	Win	Real-time strategy	
Dec	06/12/1997		Quake II	Win, PS1, N64 (1999), 		
Dec	07/12/1997		Star Wars: Rogue Squadron	N64	Action	
Dec	11/12/1997		Klonoa: Door to Phantomile	PS1, 		
Dec	12/12/1997		Falcon 4.0	Win	Combat flight simulator	
Dec	12/12/1997		Hey You, Pikachu!	N64	Virtual pet	
Dec	12/12/1997		The Legend of Zelda: Link's Awakening DX	GBC	Action-adventure	
Dec	17/12/1997		Suikoden II	PS1	Role-playing	
Dec	18/12/1997		Mario Party	N64	Party	
Dec	18/12/1997		Pokémon Trading Card Game	GBC	Digital collectible card game	
Dec	18/12/1997		StarCraft: Brood War	Win	Real-time strategy	
